,num_communique,date_communique,nbre_test,nbre_gueris,nbre_positifs,nbre_cas_contact,nbre_cas_communautaire,nbre_cas_importes,nbre_deces,nbre_cas_graves,nbre_vaccines
276,292.0,18-12-2020,,65.0,108.0,47.0,89.0,2.0,2.0,,
277,282.0,08-12-2020,844.0,58.0,43.0,,26.0,3.0,0.0,,
278,,25-3-2020,142.0,1.0,13.0,8.0,,,,,
279,93.0,02-6-2020,1339.0,96.0,97.0,77.0,20.0,,,14.0,
280,341.0,5-2-2021,,,373.0,127.0,245.0,1.0,,,
281,81.0,21-5-2020,1215.0,65.0,98.0,92.0,6.0,,,11.0,
282,90.0,30-5-2020,1370.0,23.0,106.0,94.0,,,,14.0,
283,167.0,15-None-2020,1886.0,22.0,160.0,67.0,91.0,2.0,2.0,,
284,,26-3-2020,130.0,,6.0,1.0,,,,,
285,351.0,15-2-2021,2086.0,252.0,268.0,119.0,149.0,0.0,6.0,,
286,229.0,16-10-2020,,67.0,20.0,5.0,14.0,1.0,1.0,,
287,222.0,9-10-2020,,68.0,23.0,10.0,11.0,,0.0,,
288,201.0,18-9-2020,1154.0,128.0,27.0,8.0,19.0,,1.0,,
289,97.0,06-6-2020,1166.0,236.0,94.0,87.0,3.0,4.0,,18.0,
290,324.0,19-1-2021,1443.0,117.0,168.0,54.0,114.0,0.0,10.0,,
291,87.0,27-5-2020,961.0,21.0,92.0,80.0,,,,20.0,
292,,3-2-2021,1787.0,236.0,285.0,96.0,189.0,0.0,7.0,,
293,228.0,15-10-2020,1105.0,66.0,17.0,5.0,7.0,5.0,0.0,,
294,111.0,20-6-2020,1247.0,71.0,144.0,123.0,20.0,1.0,3.0,,
295,304.0,30-12-2020,1379.0,105.0,139.0,48.0,985.0,1.0,7.0,,
296,369.0,05-3-2021,2089.0,,221.0,75.0,146.0,0.0,,,
297,62.0,2-5-2020,1190.0,12.0,91.0,87.0,4.0,,,4.0,
298,126.0,05-7-2020,756.0,157.0,128.0,92.0,34.0,2.0,,48.0,
299,331.0,26-1-2021,1515.0,189.0,183.0,36.0,97.0,0.0,,48.0,
300,131.0,10-7-2020,868.0,142.0,98.0,81.0,17.0,,2.0,,
301,127.0,06-7-2020,838.0,39.0,78.0,52.0,26.0,,3.0,,
302,335.0,30-1-2021,2180.0,197.0,318.0,97.0,221.0,0.0,4.0,,
303,60.0,30-4-2020,1161.0,19.0,51.0,40.0,11.0,,,2.0,
304,330.0,25-1-2021,2099.0,205.0,266.0,111.0,153.0,2.0,7.0,,
305,,12-3-2021,1935.0,,198.0,77.0,121.0,0.0,,,
306,80.0,20-5-2020,1042.0,53.0,97.0,83.0,14.0,,,9.0,
307,262.0,18-11-2020,786.0,8.0,17.0,8.0,9.0,0.0,0.0,,
